iter	Passed	Remaining
400	24146	36069
401	24208	36012
402	24269	35952
403	24328	35890
404	24389	35831
405	24447	35768
406	24508	35708
407	24566	35645
408	24623	35581
409	24683	35520
410	24742	35458
411	24802	35397
412	24863	35338
413	24924	35279
414	24985	35221
415	25043	35157
416	25103	35096
417	25160	35031
418	25223	34975
419	25281	34912
420	25343	34854
421	25405	34797
422	25463	34734
423	25522	34672
424	25596	34630
425	25694	34621
426	25777	34591
427	25837	34530
428	25897	34470
429	25961	34414
430	26021	34352
431	26081	34292
432	26142	34232
433	26206	34176
434	26268	34119
435	26334	34065
436	26398	34009
437	26458	33948
438	26517	33886
439	26578	33827
440	26639	33768
441	26700	33707
442	26760	33646
443	26820	33586
444	26880	33524
445	26941	33465
446	27005	33409
447	27069	33353
448	27127	33290
449	27192	33235
450	27252	33174
451	27316	33118
452	27378	33059
453	27441	33001
454	27500	32939
455	27563	32883
456	27624	32823
457	27684	32761
458	27747	32704
459	27808	32644
460	27875	32591
461	27937	32532
462	28009	32486
463	28080	32438
464	28144	32381
465	28210	32327
466	28279	32275
467	28341	32216
468	28398	32152
469	28457	32090
470	28516	32027
471	28581	31972
472	28638	31908
473	28699	31847
474	28759	31786
475	28820	31726
476	28880	31665
477	28942	31606
478	28998	31541
479	29057	31478
480	29116	31417
481	29174	31353
482	29234	31292
483	29293	31230
484	29355	31170
485	29412	31106
486	29469	31042
487	29526	30979
488	29582	30913
489	29635	30845
490	29692	30781
491	29750	30718
492	29808	30655
493	29868	30593
494	29927	30531
495	29987	30470
496	30046	30408
497	30104	30346
498	30165	30286
499	30223	30223
500	30281	30161
501	30343	30101
502	30402	30040
503	30459	29976
504	30513	29909
505	30571	29846
506	30636	29790
507	30692	29726
508	30751	29663
509	30810	29602
510	30867	29539
511	30929	29480
512	30993	29422
513	31057	29365
514	31119	29306
515	31191	29257
516	31252	29196
517	31316	29140
518	31379	29081
519	31432	29014
520	31490	28951
521	31547	28888
522	31604	28824
523	31665	28764
524	31720	28699
525	31782	28640
526	31841	28578
527	31903	28519
528	31962	28458
529	32018	28393
530	32074	28329
531	32133	28267
532	32191	28205
533	32249	28143
534	32309	28082
535	32366	28019
536	32426	27957
537	32486	27896
538	32547	27837
539	32610	27779
540	32670	27718
541	32729	27657
542	32789	27596
543	32846	27533
544	32905	27471
545	32965	27410
546	33020	27346
547	33080	27284
548	33139	27224
549	33197	27161
550	33255	27099
551	33313	27037
552	33371	26974
553	33435	26917
554	33490	26852
555	33550	26791
556	33622	26741
557	33684	26682
558	33744	26621
559	33804	26560
560	33866	26501
561	33929	26442
562	33986	26380
563	34044	26318
564	34103	26256
565	34158	26192
566	34224	26136
567	34287	26078
568	34348	26018
569	34415	25962
570	34478	25904
571	34545	25848
572	34606	25789
573	34667	25728
574	34733	25672
575	34791	25610
576	34852	25550
577	34915	25492
578	34974	25430
579	35035	25370
580	35095	25309
581	35158	25251
582	35219	25191
583	35275	25127
584	35338	25068
585	35397	25008
586	35459	24948
587	35516	24885
588	35584	24830
589	35644	24770
590	35705	24710
591	35765	24648
592	35825	24588
593	35887	24529
594	35949	24469
595	36020	24416
596	36081	24356
597	36143	24297
598	36205	24237
599	36264	24176
600	36327	24117
601	36386	24056
602	36446	23995
603	36505	23933
604	36562	23871
605	36636	23820
606	36697	23759
607	36756	23698
608	36810	23633
609	36868	23571
610	36930	23512
611	36990	23451
612	37047	23388
613	37105	23326
614	37165	23265
615	37225	23205
616	37287	23146
617	37357	23091
618	37417	23031
619	37472	22967
620	37532	22906
621	37591	22844
622	37650	22783
623	37708	22722
624	37768	22661
625	37830	22601
626	37894	22543
627	37957	22484
628	38023	22427
629	38087	22369
630	38153	22311
631	38218	22253
632	38279	22193
633	38340	22133
634	38397	22070
635	38459	22011
636	38520	21951
637	38577	21888
638	38637	21828
639	38697	21767
640	38757	21706
641	38818	21646
642	38881	21587
643	38943	21527
644	39001	21465
645	39060	21404
646	39119	21343
647	39178	21281
648	39240	21222
649	39297	21160
650	39356	21099
651	39413	21036
652	39470	20974
653	39528	20912
654	39582	20849
655	39639	20786
656	39692	20722
657	39750	20660
658	39807	20598
659	39864	20536
660	39920	20473
661	39977	20411
662	40034	20349
663	40089	20286
664	40149	20225
665	40208	20164
666	40265	20102
667	40321	20040
668	40378	19978
669	40437	19916
670	40493	19854
671	40553	19793
672	40612	19733
673	40669	19670
674	40727	19609
675	40781	19546
676	40835	19483
677	40896	19422
678	40953	19360
679	41013	19300
680	41069	19238
681	41127	19176
682	41181	19113
683	41239	19052
684	41295	18989
685	41359	18931
686	41418	18870
687	41472	18807
688	41528	18745
689	41582	18681
690	41636	18618
691	41691	18556
692	41748	18494
693	41808	18434
694	41866	18373
695	41924	18312
696	41987	18252
697	42046	18192
698	42108	18132
699	42167	18071
700	42224	18010
701	42286	17950
702	42349	17891
703	42408	17830
704	42464	17768
705	42521	17707
706	42586	17649
707	42646	17588
708	42702	17526
709	42754	17463
710	42815	17403
711	42876	17343
712	42937	17283
713	43002	17224
714	43058	17163
715	43118	17102
716	43177	17042
717	43235	16981
718	43298	16921
719	43355	16860
720	43411	16798
721	43470	16738
722	43527	16676
723	43584	16615
724	43640	16553
725	43700	16493
726	43758	16432
727	43822	16373
728	43878	16311
729	43934	16249
730	44005	16193
731	44060	16131
732	44120	16071
733	44178	16010
734	44236	15949
735	44295	15888
736	44350	15826
737	44409	15765
738	44468	15705
739	44526	15644
740	44582	15582
741	44641	15522
742	44696	15460
743	44754	15399
744	44815	15339
745	44872	15278
746	44932	15217
747	45000	15160
748	45057	15099
749	45115	15038
750	45173	14977
751	45234	14917
752	45295	14857
753	45354	14797
754	45410	14735
755	45464	14673
756	45521	14612
757	45577	14551
758	45631	14489
759	45687	14427
760	45743	14366
761	45799	14304
762	45859	14244
763	45914	14182
764	45972	14122
765	46029	14061
766	46090	14001
767	46146	13940
768	46209	13880
769	46266	13819
770	46325	13759
771	46385	13699
772	46443	13638
773	46501	13578
774	46560	13517
775	46618	13456
776	46677	13396
777	46736	13336
778	46793	13275
779	46856	13215
780	46917	13156
781	46976	13095
782	47033	13034
783	47093	12974
784	47151	12914
785	47212	12854
786	47272	12794
787	47330	12733
788	47390	12673
789	47445	12611
790	47502	12551
791	47555	12489
792	47607	12427
793	47659	12364
794	47715	12303
795	47771	12243
796	47827	12181
797	47889	12122
798	47948	12062
799	48009	12002
800	48071	11942
801	48134	11883
802	48194	11823
803	48255	11763
804	48314	11703
805	48367	11641
806	48423	11580
807	48480	11520
808	48539	11459
809	48595	11398
810	48655	11338
811	48716	11279
812	48774	11218
813	48832	11158
814	48890	11097
815	48951	11038
816	49006	10976
817	49063	10916
818	49121	10855
819	49178	10795
820	49236	10734
821	49303	10676
822	49358	10615
823	49410	10553
824	49463	10492
825	49517	10430
826	49570	10369
827	49624	10308
828	49678	10247
829	49735	10186
830	49790	10125
831	49847	10065
832	49901	10004
833	49957	9943
834	50011	9882
835	50069	9822
836	50125	9761
837	50180	9700
838	50234	9639
839	50289	9578
840	50344	9518
841	50400	9457
842	50455	9396
843	50513	9336
844	50565	9275
845	50621	9214
846	50677	9154
847	50733	9093
848	50787	9032
849	50845	8972
850	50903	8912
851	50966	8853
852	51026	8793
853	51088	8734
854	51148	8674
855	51213	8615
856	51269	8554
857	51330	8495
858	51384	8434
859	51445	8374
860	51505	8315
861	51565	8255
862	51625	8195
863	51686	8135
864	51748	8076
865	51811	8017
866	51874	7957
867	51933	7897
868	51996	7838
869	52060	7779
870	52121	7719
871	52181	7659
872	52235	7598
873	52291	7538
874	52347	7478
875	52402	7417
876	52461	7357
877	52523	7298
878	52583	7238
879	52642	7178
880	52709	7119
881	52771	7060
882	52843	7001
883	52906	6942
884	52965	6882
885	53018	6821
886	53079	6762
887	53145	6703
888	53204	6643
889	53272	6584
890	53333	6524
891	53394	6464
892	53453	6404
893	53513	6345
894	53574	6285
895	53631	6225
896	53698	6165
897	53758	6106
898	53819	6046
899	53882	5986
900	53945	5927
901	54004	5867
902	54059	5807
903	54119	5747
904	54175	5686
905	54228	5626
906	54285	5566
907	54343	5506
908	54400	5445
909	54471	5387
910	54535	5327
911	54598	5268
912	54653	5207
913	54712	5148
914	54773	5088
915	54829	5028
916	54885	4967
917	54942	4907
918	54997	4847
919	55055	4787
920	55113	4727
921	55172	4667
922	55227	4607
923	55285	4547
924	55342	4487
925	55395	4426
926	55446	4366
927	55503	4306
928	55555	4245
929	55607	4185
930	55660	4125
931	55715	4065
932	55771	4005
933	55828	3945
934	55882	3884
935	55938	3824
936	56014	3766
937	56078	3706
938	56137	3646
939	56197	3587
940	56260	3527
941	56323	3467
942	56381	3407
943	56441	3348
944	56503	3288
945	56560	3228
946	56619	3168
947	56681	3109
948	56739	3049
949	56801	2989
950	56878	2930
951	56943	2871
952	57004	2811
953	57062	2751
954	57124	2691
955	57184	2631
956	57244	2572
957	57309	2512
958	57366	2452
959	57422	2392
960	57493	2333
961	57549	2273
962	57605	2213
963	57668	2153
964	57730	2093
965	57794	2034
966	57856	1974
967	57918	1914
968	57982	1854
969	58047	1795
970	58112	1735
971	58183	1676
972	58252	1616
973	58311	1556
974	58368	1496
975	58426	1436
976	58484	1376
977	58543	1316
978	58602	1257
979	58664	1197
980	58725	1137
981	58793	1077
982	58853	1017
983	58915	957
984	58975	898
985	59032	838
986	59091	778
987	59145	718
988	59203	658
989	59261	598
990	59320	538
991	59373	478
992	59431	418
993	59485	359
994	59540	299
995	59594	239
996	59646	179
997	59702	119
998	59755	59
999	59813	0
