iter	Logloss
0	0.658364618
1	0.6328452111
2	0.6060210547
3	0.5969757538
4	0.5887263626
5	0.5753260188
6	0.570958611
7	0.5670075476
8	0.5464900322
9	0.5401579237
10	0.5152640183
11	0.5121571514
12	0.509879381
13	0.4949241658
14	0.4932421474
15	0.4820033242
16	0.4799628611
17	0.4778906717
18	0.4765784747
19	0.4754886489
20	0.4745986257
21	0.4707651459
22	0.4700179227
23	0.4682453417
24	0.4666851227
25	0.4658312587
26	0.4639164193
27	0.4633627229
28	0.4613923885
29	0.4608451261
30	0.4604700373
31	0.4599002298
32	0.459506301
33	0.4590794278
34	0.4588371697
35	0.458480521
36	0.4581060262
37	0.4579319873
38	0.4554826195
39	0.4551435762
40	0.4549482173
41	0.4546785807
42	0.4543923475
43	0.4542183565
44	0.4539856782
45	0.4512833997
46	0.4505835809
47	0.4502845098
48	0.4500709601
49	0.4499160623
50	0.4497400518
51	0.4495509411
52	0.4493504041
53	0.449130481
54	0.4489878156
55	0.4488109447
56	0.4486809489
57	0.4485325151
58	0.4483634612
59	0.4481757625
60	0.4464966773
61	0.4463203324
62	0.4461977945
63	0.44606852
64	0.4459489514
65	0.445845369
66	0.4456571273
67	0.4455525369
68	0.4454387096
69	0.4453341698
70	0.4452325444
71	0.4449626458
72	0.4448765604
73	0.4447628623
74	0.4444078115
75	0.4443066993
76	0.4440195561
77	0.4439018947
78	0.4438163716
79	0.4437336031
80	0.4436155267
81	0.4435416113
82	0.443455567
83	0.4433616829
84	0.4432723912
85	0.4432145821
86	0.443138176
87	0.4430765115
88	0.4429830056
89	0.4426320513
90	0.4425448766
91	0.442480821
92	0.4424081604
93	0.4423408359
94	0.4422586005
95	0.4421917972
96	0.4421195534
97	0.4420575778
98	0.4417403617
99	0.4416761813
100	0.4415262208
101	0.4414778023
102	0.4414153171
103	0.4413635361
104	0.4412982755
105	0.441240928
106	0.4411513168
107	0.4410939834
108	0.441042215
109	0.4409926879
110	0.4409263119
111	0.4408545941
112	0.4407883913
113	0.4407115626
